username,0
ProjectAnomaly,Cluster 3
Pukeonthestreet,Cluster 1
Pumpkin_Man,Cluster 1
PyroSikTh,Cluster 1
Quebec_Dragon,Cluster 3
Quicksand,Cluster 5
Quietb-1,Cluster 1
RCWjr,Cluster 1
RIK-22,Cluster 3
RJBurke1942,Cluster 1
RNMorton,Cluster 4
RainDogJr,Cluster 1
Rainey-Dawn,Cluster 3
Ramascreen,Cluster 1
Rammstein-2,Cluster 4
RatedVforVinny,Cluster 3
Rectangular_businessman,Cluster 4
Red-125,Cluster 1
Red-Barracuda,Cluster 2
Rendanlovell,Cluster 1
Reno-Rangan,Cluster 1
RevRonster,Cluster 1
RforFilm,Cluster 1
RhapsodyReviews,Cluster 3
Ric-7,Cluster 1
Rich B,Cluster 2
RichardSRussell-1,Cluster 1
Richie-67-485852,Cluster 1
RickHarvey,Cluster 3
Rickting,Cluster 1
Rob_Taylor,Cluster 3
Rogue-32,Cluster 1
RossRivero99,Cluster 4
RussHog,Cluster 1
Ryan_MYeah,Cluster 1
SAMTHEBESTEST,Cluster 1
SKG-2,Cluster 2
SMLA11,Cluster 2
SafReviews,Cluster 3
Samiam3,Cluster 3
Sandcooler,Cluster 4
Scarecrow-88,Cluster 3
Scars_Remain,Cluster 2
Screen_Blitz,Cluster 1
SeminolePhenom,Cluster 2
Semisonic,Cluster 1
Seraphion,Cluster 1
Sergeant_Tibbs,Cluster 1
Sfpsycho415,Cluster 2
ShelbyTMItchell,Cluster 1
Sherazade,Cluster 1
ShootingShark,Cluster 3
Shyinx,Cluster 2
Silverzero,Cluster 2
SimonJack,Cluster 1
Sirus_the_Virus,Cluster 3
Sleepin_Dragon,Cluster 1
SmileysWorld,Cluster 4
SnakesOnAnAfricanPlain,Cluster 1
SonicStuart,Cluster 2
Spanner-2,Cluster 3
Sparrowmaniac,Cluster 2
Spike-Washington,Cluster 3
Spleen,Cluster 4
Spondonman,Cluster 1
Spuzzlightyear,Cluster 3
SquigglyCrunch,Cluster 1
Stampsfightclub,Cluster 3
Steffi_P,Cluster 2
StevePulaski,Cluster 4
StonedMagician,Cluster 1
Superunknovvn,Cluster 5
Sylviastel,Cluster 1
TOMASBBloodhound,Cluster 2
TOMNEL,Cluster 3
Takethispunch,Cluster 3
TalesfromTheCryptfan,Cluster 3
Tcarts76,Cluster 1
TdSmth5,Cluster 1
Tehmeh,Cluster 1
Terryfan,Cluster 3
Thanos_Alfie,Cluster 3
Thanos_Karagioras,Cluster 3
Thats_some_scary_stuff_Reviews,Cluster 3
The Grand Master,Cluster 3
The-Sarkologist,Cluster 3
TheBlueHairedLawyer,Cluster 3
TheHande,Cluster 2
TheHoodOfSwords,Cluster 1
TheMan3051,Cluster 2
TheMovieDiorama,Cluster 3
TheNabOwnzz,Cluster 2
TheNorthernMonkee,Cluster 4
TheOneThatYouWanted,Cluster 1
TheSquiss,Cluster 1
TheUnknown837-1,Cluster 3
The_Amazing_Spy_Rises,Cluster 3
The_Core,Cluster 2
The_Movie_Cat,Cluster 2
The_Orenda,Cluster 4
The_Void,Cluster 4
The_Wood,Cluster 2
Theo Robertson,Cluster 3
ThomasDrufke,Cluster 1
Thrashman88,Cluster 1
TopDawgCritic,Cluster 1
Treyroo,Cluster 1
Troy_Campbell,Cluster 1
Tss5078,Cluster 1
Turfseer,Cluster 1
Tweetienator,Cluster 1
Tyson14,Cluster 1
UniqueParticle,Cluster 3
Uriah43,Cluster 3
Vivekmaru45,Cluster 1
WeAreLive,Cluster 1
Wisesoldierthe6,Cluster 3
Woodyanders,Cluster 2
WriterDave,Cluster 1
WubsTheFadger,Cluster 2
Wuchakk,Cluster 3
XweAponX,Cluster 1
Zbigniew_Krycsiwiki,Cluster 1
Ziya90,Cluster 1
a_chinn,Cluster 3
abcvision,Cluster 1
abouhelier-r,Cluster 1
acedj,Cluster 3
achyutaghosh,Cluster 1
aciessi,Cluster 1
ackstasis,Cluster 1
adamscastlevania2,Cluster 1
adrongardner,Cluster 1
aesgaard41,Cluster 3
afonsobritofalves,Cluster 2
agmoldham,Cluster 1
aharmas,Cluster 1
aidanratesmovies,Cluster 3
ajs-10,Cluster 1
akash_sebastian,Cluster 1
alansabljakovic-39044,Cluster 3
alcantaraj-16594,Cluster 1
alexpitt-345-971699,Cluster 1
alindsay-al,Cluster 1
allanmichael30,Cluster 1
aminifatimaaa,Cluster 1
andrewchristianjr,Cluster 1
andrewnmiller,Cluster 1
andrewroy-04316,Cluster 1
andro-dolic,Cluster 1
anhedonia,Cluster 1
anselmdaniel,Cluster 3
antagonist117,Cluster 2
anthonydapiii,Cluster 3
anton-6,Cluster 2
antoniotierno,Cluster 1
apararas,Cluster 4
aram81,Cluster 2
areatw,Cluster 1
arfdawg-1,Cluster 1
arjunflamingfeather,Cluster 1
arthera09,Cluster 3
arthur_tafero,Cluster 1
arthurclay,Cluster 2
asda-man,Cluster 1
asifahsankhan,Cluster 1
asocialis,Cluster 3
atinder,Cluster 3
atlasmb,Cluster 1
austin0731,Cluster 1
autisticreviewers,Cluster 1
avik-basu1889,Cluster 2
axismladen,Cluster 3
axlrhodes,Cluster 3
ayoreinf,Cluster 1
badajoz-1,Cluster 1
bandw,Cluster 1
