username,0
Movie-12,Cluster 3
MovieAddict2016,Cluster 3
MovieCriticOnline,Cluster 1
MovieGuy109,Cluster 3
MovieManMenzel,Cluster 3
MovieZoo,Cluster 3
Mr-Fusion,Cluster 3
MrDHWong,Cluster 1
MrGKB,Cluster 3
MrPupkin,Cluster 3
Mr_Sensitive,Cluster 3
Muhammad_Rafeeq,Cluster 1
NateWatchesCoolMovies,Cluster 3
Nazi_Fighter_David,Cluster 3
OMTR,Cluster 3
Offworld_Colony,Cluster 1
Okonh0wp,Cluster 3
OllieSuave-007,Cluster 3
OriginalMovieBuff21,Cluster 3
OttoVonB,Cluster 3
Ozzy2000,Cluster 3
PIST-OFF,Cluster 3
PWNYCNY,Cluster 1
PartialMovieViewer,Cluster 1
PassPopcorn,Cluster 1
PatrynXX,Cluster 3
Pavel-8,Cluster 3
Peach-2,Cluster 3
Pedro_H,Cluster 3
PersianPlaya408,Cluster 3
PetarNeo,Cluster 1
Petey-10,Cluster 3
Philby-3,Cluster 3
PipAndSqueak,Cluster 1
Polaris_DiB,Cluster 3
Pooooh,Cluster 3
Prashast_Singh,Cluster 3
PredragReviews,Cluster 3
Prichards12345,Cluster 3
ProjectAnomaly,Cluster 3
Pukeonthestreet,Cluster 1
Pumpkin_Man,Cluster 3
PyroSikTh,Cluster 1
Quebec_Dragon,Cluster 3
Quicksand,Cluster 3
Quietb-1,Cluster 1
RCWjr,Cluster 3
RIK-22,Cluster 3
RJBurke1942,Cluster 3
RNMorton,Cluster 3
RainDogJr,Cluster 3
Rainey-Dawn,Cluster 3
Ramascreen,Cluster 1
Rammstein-2,Cluster 3
RatedVforVinny,Cluster 3
Rectangular_businessman,Cluster 3
Red-125,Cluster 1
Red-Barracuda,Cluster 3
Rendanlovell,Cluster 1
Reno-Rangan,Cluster 1
RevRonster,Cluster 1
RforFilm,Cluster 1
RhapsodyReviews,Cluster 1
Ric-7,Cluster 1
Rich B,Cluster 3
RichardSRussell-1,Cluster 3
Richie-67-485852,Cluster 1
RickHarvey,Cluster 3
Rickting,Cluster 3
Rob_Taylor,Cluster 3
Rogue-32,Cluster 3
RossRivero99,Cluster 3
RussHog,Cluster 1
Ryan_MYeah,Cluster 3
SAMTHEBESTEST,Cluster 3
SKG-2,Cluster 3
SMLA11,Cluster 3
SafReviews,Cluster 3
Samiam3,Cluster 3
Sandcooler,Cluster 3
Scarecrow-88,Cluster 3
Scars_Remain,Cluster 3
Screen_Blitz,Cluster 1
SeminolePhenom,Cluster 3
Semisonic,Cluster 1
Seraphion,Cluster 1
Sergeant_Tibbs,Cluster 1
Sfpsycho415,Cluster 3
ShelbyTMItchell,Cluster 1
Sherazade,Cluster 3
ShootingShark,Cluster 3
Shyinx,Cluster 3
Silverzero,Cluster 3
SimonJack,Cluster 1
Sirus_the_Virus,Cluster 3
Sleepin_Dragon,Cluster 1
SmileysWorld,Cluster 3
SnakesOnAnAfricanPlain,Cluster 3
SonicStuart,Cluster 3
Spanner-2,Cluster 3
Sparrowmaniac,Cluster 3
Spike-Washington,Cluster 3
Spleen,Cluster 3
Spondonman,Cluster 3
Spuzzlightyear,Cluster 3
SquigglyCrunch,Cluster 1
Stampsfightclub,Cluster 3
Steffi_P,Cluster 3
StevePulaski,Cluster 1
StonedMagician,Cluster 1
Superunknovvn,Cluster 3
Sylviastel,Cluster 3
TOMASBBloodhound,Cluster 3
TOMNEL,Cluster 3
Takethispunch,Cluster 3
TalesfromTheCryptfan,Cluster 3
Tcarts76,Cluster 1
TdSmth5,Cluster 3
Tehmeh,Cluster 3
Terryfan,Cluster 3
Thanos_Alfie,Cluster 1
Thanos_Karagioras,Cluster 3
Thats_some_scary_stuff_Reviews,Cluster 3
The Grand Master,Cluster 3
The-Sarkologist,Cluster 3
TheBlueHairedLawyer,Cluster 3
TheHande,Cluster 3
TheHoodOfSwords,Cluster 3
TheMan3051,Cluster 3
TheMovieDiorama,Cluster 1
TheNabOwnzz,Cluster 3
TheNorthernMonkee,Cluster 3
TheOneThatYouWanted,Cluster 1
TheSquiss,Cluster 1
TheUnknown837-1,Cluster 3
The_Amazing_Spy_Rises,Cluster 3
The_Core,Cluster 3
The_Movie_Cat,Cluster 3
The_Orenda,Cluster 3
The_Void,Cluster 3
The_Wood,Cluster 3
Theo Robertson,Cluster 3
ThomasDrufke,Cluster 1
Thrashman88,Cluster 1
TopDawgCritic,Cluster 1
Treyroo,Cluster 1
Troy_Campbell,Cluster 1
Tss5078,Cluster 3
Turfseer,Cluster 1
Tweetienator,Cluster 1
Tyson14,Cluster 3
UniqueParticle,Cluster 1
Uriah43,Cluster 3
Vivekmaru45,Cluster 3
WeAreLive,Cluster 3
Wisesoldierthe6,Cluster 3
Woodyanders,Cluster 3
WriterDave,Cluster 3
WubsTheFadger,Cluster 1
Wuchakk,Cluster 3
XweAponX,Cluster 3
Zbigniew_Krycsiwiki,Cluster 1
Ziya90,Cluster 3
a_chinn,Cluster 3
abcvision,Cluster 1
abouhelier-r,Cluster 1
acedj,Cluster 3
achyutaghosh,Cluster 3
aciessi,Cluster 1
ackstasis,Cluster 3
adamscastlevania2,Cluster 1
adrongardner,Cluster 3
aesgaard41,Cluster 3
afonsobritofalves,Cluster 3
agmoldham,Cluster 3
aharmas,Cluster 1
aidanratesmovies,Cluster 1
ajs-10,Cluster 3
akash_sebastian,Cluster 1
alansabljakovic-39044,Cluster 1
alcantaraj-16594,Cluster 3
alexpitt-345-971699,Cluster 1
alindsay-al,Cluster 1
allanmichael30,Cluster 1
aminifatimaaa,Cluster 1
andrewchristianjr,Cluster 3
andrewnmiller,Cluster 3
andrewroy-04316,Cluster 1
andro-dolic,Cluster 3
anhedonia,Cluster 3
anselmdaniel,Cluster 3
antagonist117,Cluster 3
anthonydapiii,Cluster 1
anton-6,Cluster 3
antoniotierno,Cluster 1
apararas,Cluster 3
aram81,Cluster 3
areatw,Cluster 1
arfdawg-1,Cluster 1
arjunflamingfeather,Cluster 1
arthera09,Cluster 3
